record_id,supplier_id,supplier_name,invoice_number,invoice_date,date_entered,currency,net_amount,tax_amount,gross_amount,cost_centre,entered_by,status
FR-00015,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0476,2025-12-03,2025-12-07,LKR,353664.00,63659.52,417323.52,CC-RAJ,nimali.p,Posted
FR-00016,SUP-001,Ceylon Fresh Produce (Pvt) Ltd,000268,2026-01-28,2026-01-30,LKR,338890.00,0.00,338890.00,CC-RAJ,sunil.j,Posted
FR-00017,SUP-008,Lanka Dairy Products (Pvt) Ltd,LDP/26/569,2026-02-12,2026-02-21,LKR,258910.00,46603.80,305513.80,CC-MLV,nimali.p,Posted
FR-00018,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0640,2026-01-10,2026-01-17,LKR,155731.00,28031.58,183762.58,CC-RAJ,nimali.p,Posted
FR-00019,SUP-030,Ceylinco Kitchen Equipment (Pvt) Ltd,CKE-0510,2025-12-08,2025-12-17,LKR,194678.00,35042.04,229720.04,CC-MLV,nimali.p,Posted
FR-00020,SUP-027,Nexus Waste Management (Pvt) Ltd,000462,2025-12-05,2025-12-12,LKR,105165.00,18929.70,124094.70,CC-NUG,nimali.p,Posted
FR-00021,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2025619,2025-12-03,2025-12-10,LKR,252535.00,0.00,252535.00,CC-RAJ,nimali.p,Posted
FR-00022,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2026319,2026-01-25,2026-02-01,LKR,294080.00,52934.40,347014.40,CC-NUG,sunil.j,Posted
FR-00023,SUP-020,Ecoware Disposables (Pvt) Ltd,ED2026238,2026-01-04,2026-01-09,LKR,263858.00,47494.44,311352.44,CC-RAJ,nimali.p,Posted
FR-00024,SUP-039,Vintage Cellars Lanka (Pvt) Ltd,VCL/25/370,2025-12-20,2025-12-25,LKR,201830.00,36329.40,238159.40,CC-CKN,nimali.p,Posted
FR-00025,SUP-001,Ceylon Fresh Produce (Pvt) Ltd,000274,2025-12-15,2025-12-18,LKR,111336.00,0.00,111336.00,CC-NUG,nimali.p,Posted
FR-00026,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0342,2026-02-17,2026-02-22,LKR,364419.00,65595.42,430014.42,CC-RAJ,sunil.j,Posted
FR-00027,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0477,2025-12-20,2025-12-26,LKR,530405.00,95472.90,625877.90,CC-MLV,sunil.j,Posted
FR-00028,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026644,2026-01-25,2026-02-02,LKR,418352.00,75303.36,493655.36,CC-C07,nimali.p,Posted
FR-00029,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2025293,2025-12-28,2026-01-05,LKR,162834.00,0.00,162834.00,CC-CKN,nimali.p,Posted
FR-00030,SUP-040,Everclean Laundry (Pvt) Ltd,EL/25/661,2025-12-25,2025-12-30,LKR,575426.00,103576.68,679002.68,CC-BAT,nimali.p,Posted
FR-00031,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2025652,2025-12-19,2025-12-27,LKR,152937.00,27528.66,180465.66,CC-CKN,nimali.p,Posted
FR-00032,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026624,2026-01-13,2026-01-18,LKR,66875.00,0.00,66875.00,CC-C03,nimali.p,Posted
FR-00033,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2025281,2025-12-19,2025-12-22,LKR,235616.00,0.00,235616.00,CC-MLV,sunil.j,Posted
FR-00034,SUP-018,Litro Gas Lanka Distributors (Pvt) Ltd,000504,2026-01-23,2026-01-30,LKR,266590.00,47986.20,314576.20,CC-C03,nimali.p,Posted
FR-00035,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2026316,2026-01-16,2026-01-23,LKR,103844.00,18691.92,122535.92,CC-MLV,nimali.p,Posted
FR-00036,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026218,2026-01-19,2026-01-25,LKR,481635.00,86694.30,568329.30,CC-BAT,nimali.p,Posted
FR-00037,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000280,2026-01-11,2026-01-15,LKR,134138.00,24144.84,158282.84,CC-MLV,nimali.p,Posted
FR-00038,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000272,2025-12-16,2025-12-24,LKR,446128.00,80303.04,526431.04,CC-BAT,nimali.p,Posted
FR-00039,SUP-009,Lanka Dairies Limited,000538,2026-02-13,2026-02-18,LKR,279719.00,50349.42,330068.42,CC-RAJ,nimali.p,Posted
FR-00040,SUP-022,Hygiene First Chemicals (Pvt) Ltd,HFC/26/659,2026-02-27,2026-02-28,LKR,26344.00,4741.92,31085.92,CC-C07,nimali.p,Posted
FR-00041,SUP-040,Everclean Laundry (Pvt) Ltd,EL/25/675,2025-12-18,2025-12-19,LKR,135770.00,24438.60,160208.60,CC-NUG,nimali.p,Posted
FR-00042,SUP-035,Ceylon Cold Chain Logistics (Pvt) Ltd,CCC/25/687,2025-12-12,2025-12-18,LKR,587106.00,105679.08,692785.08,CC-C03,nimali.p,Posted
FR-00043,SUP-038,Golden Grain Flour Mills PLC,GGF-0505,2025-12-22,2025-12-24,LKR,78785.00,14181.30,92966.30,CC-C03,sunil.j,Posted
FR-00044,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000287,2026-01-12,2026-01-19,LKR,550574.00,99103.32,649677.32,CC-RAJ,nimali.p,Posted
FR-00045,SUP-005,Chilaw Fisheries Company Limited,000296,2026-01-25,2026-02-02,LKR,106080.00,0.00,106080.00,CC-NUG,nimali.p,Posted
FR-00046,SUP-005,Chilaw Fisheries Company Limited,000292,2026-02-21,2026-02-22,LKR,305748.00,0.00,305748.00,CC-CKN,sunil.j,Posted
FR-00047,SUP-033,Vidul Print & Stationery (Pvt) Ltd,VP2025365,2025-12-14,2025-12-15,LKR,67825.00,12208.50,80033.50,CC-MLV,nimali.p,Posted
FR-00048,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2025317,2025-12-06,2025-12-12,LKR,132360.00,23824.80,156184.80,CC-CKN,nimali.p,Posted
FR-00049,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0474,2026-01-23,2026-01-24,LKR,468784.00,84381.12,553165.12,CC-MLV,nimali.p,Posted
FR-00050,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000625,2025-12-21,2025-12-25,LKR,537470.00,96744.60,634214.60,CC-MLV,sunil.j,Posted
FR-00051,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2026324,2026-02-21,2026-02-22,LKR,119741.00,21553.38,141294.38,CC-NUG,nimali.p,Posted
FR-00052,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0472,2026-02-04,2026-02-09,LKR,323365.00,58205.70,381570.70,CC-CKN,sunil.j,Posted
FR-00053,SUP-027,Nexus Waste Management (Pvt) Ltd,000463,2025-12-26,2026-01-02,LKR,194993.00,35098.74,230091.74,CC-NUG,nimali.p,Posted
FR-00054,SUP-040,Everclean Laundry (Pvt) Ltd,EL/25/656,2025-12-21,2025-12-22,LKR,176310.00,31735.80,208045.80,CC-BAT,nimali.p,Posted
FR-00055,SUP-001,Ceylon Fresh Produce (Pvt) Ltd,000280,2026-01-21,2026-01-28,LKR,299359.00,0.00,299359.00,CC-MLV,nimali.p,Posted
FR-00056,SUP-037,Sea Breeze Prawn Farms (Pvt) Ltd,SBP2026261,2026-01-07,2026-01-12,LKR,562305.00,0.00,562305.00,CC-RAJ,nimali.p,Posted
FR-00057,SUP-041,Sithumina Hardware & Electricals,000219,2025-12-18,2025-12-24,LKR,569473.00,0.00,569473.00,CC-RAJ,nimali.p,Posted
FR-00058,SUP-035,Ceylon Cold Chain Logistics (Pvt) Ltd,CCC/26/691,2026-02-10,2026-02-19,LKR,372073.00,66973.14,439046.14,CC-C03,sunil.j,Posted
FR-00059,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000610,2026-02-11,2026-02-16,LKR,144253.00,25965.54,170218.54,CC-NUG,nimali.p,Posted
FR-00060,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0470,2025-12-17,2025-12-20,LKR,185591.00,33406.38,218997.38,CC-C03,nimali.p,Posted
FR-00061,SUP-034,Sunrise Bakery Products (Pvt) Ltd,SBP-0238,2026-01-03,2026-01-07,LKR,121260.00,21826.80,143086.80,CC-CKN,nimali.p,Posted
FR-00062,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0344,2026-02-28,2026-03-02,LKR,441160.00,79408.80,520568.80,CC-RAJ,nimali.p,Posted
FR-00063,SUP-015,Island Beverage Distributors (Pvt) Ltd,IBD2026156,2026-02-10,2026-02-15,LKR,565195.00,101735.10,666930.10,CC-C03,sunil.j,Posted
FR-00064,SUP-040,Everclean Laundry (Pvt) Ltd,EL/26/660,2026-01-12,2026-01-20,LKR,58663.00,10559.34,69222.34,CC-MLV,nimali.p,Posted
FR-00065,SUP-039,Vintage Cellars Lanka (Pvt) Ltd,VCL/26/358,2026-01-18,2026-01-21,LKR,391239.00,70423.02,461662.02,CC-C03,nimali.p,Posted
FR-00066,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0632,2026-02-07,2026-02-15,LKR,280145.00,50426.10,330571.10,CC-MLV,nimali.p,Posted
FR-00067,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/25/177,2025-12-13,2025-12-22,LKR,250028.00,45005.04,295033.04,CC-RAJ,nimali.p,Posted
FR-00068,SUP-026,Guardian Facility Management (Pvt) Ltd,GFM/26/632,2026-02-08,2026-02-16,LKR,278503.00,50130.54,328633.54,CC-C03,nimali.p,Posted
FR-00069,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026211,2026-01-28,2026-02-01,LKR,612567.00,110262.06,722829.06,CC-C03,nimali.p,Posted
FR-00070,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026639,2026-01-24,2026-01-27,LKR,490613.00,88310.34,578923.34,CC-NUG,nimali.p,Posted
FR-00071,SUP-033,Vidul Print & Stationery (Pvt) Ltd,VP2026355,2026-01-26,2026-01-27,LKR,364052.00,65529.36,429581.36,CC-CKN,nimali.p,Posted
FR-00072,SUP-038,Golden Grain Flour Mills PLC,GGF-0508,2026-02-04,2026-02-07,LKR,42509.00,7651.62,50160.62,CC-MLV,nimali.p,Posted
FR-00073,SUP-010,Serendib Creamery (Pvt) Ltd,000652,2026-01-20,2026-01-28,LKR,145829.00,26249.22,172078.22,CC-RAJ,nimali.p,Posted
FR-00074,SUP-024,Coolzone Refrigeration Engineers (Pvt) Ltd,CRE2026546,2026-02-17,2026-02-19,LKR,197004.00,35460.72,232464.72,CC-C07,nimali.p,Posted
FR-00075,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000422,2026-02-23,2026-02-27,LKR,282130.00,50783.40,332913.40,CC-C07,sunil.j,Posted
FR-00076,SUP-037,Sea Breeze Prawn Farms (Pvt) Ltd,SBP2026274,2026-02-20,2026-02-23,LKR,249533.00,0.00,249533.00,CC-BAT,nimali.p,Posted
FR-00077,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0298,2025-12-07,2025-12-14,LKR,521379.00,93848.22,615227.22,CC-RAJ,sunil.j,Posted
FR-00078,SUP-038,Golden Grain Flour Mills PLC,GGF-0519,2025-12-07,2025-12-10,LKR,181208.00,32617.44,213825.44,CC-BAT,sunil.j,Posted
FR-00079,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/25/173,2025-12-21,2025-12-26,LKR,470491.00,84688.38,555179.38,CC-C03,sunil.j,Posted
FR-00080,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000437,2025-12-01,2025-12-08,LKR,87476.00,15745.68,103221.68,CC-RAJ,nimali.p,Posted
FR-00081,SUP-037,Sea Breeze Prawn Farms (Pvt) Ltd,SBP2026271,2026-01-25,2026-02-02,LKR,176776.00,0.00,176776.00,CC-NUG,nimali.p,Posted
FR-00082,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000439,2026-01-18,2026-01-20,LKR,289042.00,52027.56,341069.56,CC-C07,nimali.p,Posted
FR-00083,SUP-040,Everclean Laundry (Pvt) Ltd,EL/26/657,2026-01-20,2026-01-27,LKR,53700.00,9666.00,63366.00,CC-RAJ,sunil.j,Posted
FR-00084,SUP-034,Sunrise Bakery Products (Pvt) Ltd,SBP-0229,2025-12-27,2025-12-28,LKR,118095.00,21257.10,139352.10,CC-MLV,nimali.p,Posted
FR-00085,SUP-009,Lanka Dairies Limited,000534,2026-01-12,2026-01-17,LKR,321229.00,57821.22,379050.22,CC-MLV,nimali.p,Posted
FR-00086,SUP-026,Guardian Facility Management (Pvt) Ltd,GFM/26/636,2026-02-21,2026-02-24,LKR,590215.00,106238.70,696453.70,CC-C07,nimali.p,Posted
FR-00087,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/25/635,2025-12-19,2025-12-28,LKR,195866.00,35255.88,231121.88,CC-MLV,sunil.j,Posted
FR-00088,SUP-034,Sunrise Bakery Products (Pvt) Ltd,SBP-0235,2025-12-07,2025-12-16,LKR,302315.00,54416.70,356731.70,CC-RAJ,sunil.j,Posted
FR-00089,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026235,2026-01-23,2026-02-01,LKR,373922.00,67305.96,441227.96,CC-MLV,nimali.p,Posted
FR-00090,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0311,2026-01-25,2026-01-30,LKR,112333.00,20219.94,132552.94,CC-C07,sunil.j,Posted
FR-00091,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026630,2026-02-08,2026-02-15,LKR,261902.00,0.00,261902.00,CC-CKN,nimali.p,Posted
FR-00092,SUP-040,Everclean Laundry (Pvt) Ltd,EL/26/681,2026-01-20,2026-01-24,LKR,562904.00,101322.72,664226.72,CC-NUG,nimali.p,Posted
FR-00093,SUP-035,Ceylon Cold Chain Logistics (Pvt) Ltd,CCC/25/696,2025-12-20,2025-12-21,LKR,548708.00,98767.44,647475.44,CC-RAJ,nimali.p,Posted
FR-00094,SUP-012,Ruhunu Rice & Grain Traders,RR-0498,2025-12-09,2025-12-13,LKR,136563.00,24581.34,161144.34,CC-NUG,nimali.p,Posted
FR-00095,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/26/163,2026-02-23,2026-02-26,LKR,168533.00,30335.94,198868.94,CC-C07,nimali.p,Posted
FR-00096,SUP-038,Golden Grain Flour Mills PLC,GGF-0523,2026-02-08,2026-02-11,LKR,243389.00,43810.02,287199.02,CC-RAJ,nimali.p,Posted
FR-00097,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2026296,2026-02-16,2026-02-22,LKR,499906.00,0.00,499906.00,CC-CKN,nimali.p,Posted
FR-00098,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000277,2026-01-04,2026-01-09,LKR,154003.00,27720.54,181723.54,CC-NUG,nimali.p,Posted
FR-00099,SUP-033,Vidul Print & Stationery (Pvt) Ltd,VP2026351,2026-01-10,2026-01-17,LKR,223312.00,40196.16,263508.16,CC-BAT,nimali.p,Posted
FR-00100,SUP-026,Guardian Facility Management (Pvt) Ltd,GFM/25/628,2025-12-18,2025-12-19,LKR,505778.00,91040.04,596818.04,CC-RAJ,nimali.p,Posted
FR-00101,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0458,2025-12-25,2025-12-29,LKR,165579.00,29804.22,195383.22,CC-RAJ,sunil.j,Posted
FR-00102,SUP-010,Serendib Creamery (Pvt) Ltd,000648,2026-02-01,2026-02-09,LKR,41570.00,7482.60,49052.60,CC-C03,nimali.p,Posted
FR-00103,SUP-008,Lanka Dairy Products (Pvt) Ltd,LDP/26/570,2026-02-20,2026-02-28,LKR,319825.00,57568.50,377393.50,CC-BAT,nimali.p,Posted
FR-00104,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/26/630,2026-01-07,2026-01-11,LKR,411847.00,74132.46,485979.46,CC-C03,nimali.p,Posted
FR-00105,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026215,2026-02-24,2026-03-02,LKR,81547.00,14678.46,96225.46,CC-BAT,nimali.p,Posted
FR-00106,SUP-038,Golden Grain Flour Mills PLC,GGF-0520,2026-02-21,2026-02-23,LKR,590844.00,106351.92,697195.92,CC-NUG,nimali.p,Posted
FR-00107,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0295,2026-02-21,2026-02-23,LKR,72830.00,13109.40,85939.40,CC-NUG,nimali.p,Posted
FR-00108,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2025226,2025-12-17,2025-12-22,LKR,52427.00,9436.86,61863.86,CC-CKN,nimali.p,Posted
FR-00109,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/25/638,2025-12-04,2025-12-11,LKR,379296.00,68273.28,447569.28,CC-BAT,nimali.p,Posted
FR-00110,SUP-005,Chilaw Fisheries Company Limited,000287,2026-02-23,2026-02-24,LKR,61893.00,0.00,61893.00,CC-C07,nimali.p,Posted
FR-00111,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0630,2026-02-07,2026-02-13,LKR,577543.00,103957.74,681500.74,CC-BAT,nimali.p,Posted
FR-00112,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0329,2026-01-11,2026-01-19,LKR,66243.00,11923.74,78166.74,CC-MLV,nimali.p,Posted
FR-00113,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026634,2026-01-13,2026-01-22,LKR,462767.00,83298.06,546065.06,CC-BAT,sunil.j,Posted
FR-00114,SUP-010,Serendib Creamery (Pvt) Ltd,000638,2026-01-11,2026-01-20,LKR,533341.00,96001.38,629342.38,CC-CKN,sunil.j,Posted
FR-00115,SUP-015,Island Beverage Distributors (Pvt) Ltd,IBD2026152,2026-01-15,2026-01-21,LKR,105204.00,18936.72,124140.72,CC-MLV,sunil.j,Posted
FR-00116,SUP-040,Everclean Laundry (Pvt) Ltd,EL/25/692,2025-12-12,2025-12-14,LKR,595241.00,107143.38,702384.38,CC-RAJ,nimali.p,Posted
FR-00117,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2025612,2025-12-21,2025-12-28,LKR,325460.00,0.00,325460.00,CC-NUG,nimali.p,Posted
FR-00118,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026230,2026-01-21,2026-01-26,LKR,235218.00,42339.24,277557.24,CC-C03,sunil.j,Posted
FR-00119,SUP-037,Sea Breeze Prawn Farms (Pvt) Ltd,SBP2026258,2026-02-24,2026-02-27,LKR,445870.00,0.00,445870.00,CC-C07,nimali.p,Posted
FR-00120,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI-26-922,2026-03-04,2026-03-05,LKR,123349.00,22202.82,145551.82,CC-C03,nimali.p,Posted
FR-00121,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/25/170,2025-12-17,2025-12-21,LKR,523760.00,94276.80,618036.80,CC-MLV,nimali.p,Posted
FR-00122,SUP-024,Coolzone Refrigeration Engineers (Pvt) Ltd,CRE2026549,2026-02-14,2026-02-23,LKR,88777.00,15979.86,104756.86,CC-RAJ,nimali.p,Posted
FR-00123,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0341,2026-01-08,2026-01-17,LKR,262303.00,47214.54,309517.54,CC-NUG,nimali.p,Posted
FR-00124,SUP-035,Ceylon Cold Chain Logistics (Pvt) Ltd,CCC/25/688,2025-12-26,2025-12-30,LKR,323231.00,58181.58,381412.58,CC-NUG,nimali.p,Posted
FR-00125,SUP-012,Ruhunu Rice & Grain Traders,RR-0503,2026-02-10,2026-02-13,LKR,590363.00,106265.34,696628.34,CC-MLV,nimali.p,Posted
FR-00126,SUP-022,Hygiene First Chemicals (Pvt) Ltd,HFC/25/661,2025-12-05,2025-12-12,LKR,36233.00,6521.94,42754.94,CC-NUG,sunil.j,Posted
FR-00127,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/26/628,2026-02-15,2026-02-22,LKR,456444.00,82159.92,538603.92,CC-MLV,nimali.p,Posted
FR-00128,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0323,2026-02-24,2026-03-01,LKR,257632.00,46373.76,304005.76,CC-NUG,nimali.p,Posted
FR-00129,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0466,2025-12-15,2025-12-22,LKR,559578.00,100724.04,660302.04,CC-RAJ,nimali.p,Posted
FR-00130,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0304,2026-01-07,2026-01-15,LKR,268682.00,48362.76,317044.76,CC-RAJ,nimali.p,Posted
FR-00131,SUP-033,Vidul Print & Stationery (Pvt) Ltd,VP2026361,2026-02-25,2026-02-28,LKR,552263.00,99407.34,651670.34,CC-NUG,nimali.p,Posted
FR-00132,SUP-018,Litro Gas Lanka Distributors (Pvt) Ltd,000511,2026-01-12,2026-01-14,LKR,485237.00,87342.66,572579.66,CC-RAJ,nimali.p,Posted
FR-00133,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026633,2026-01-01,2026-01-06,LKR,184193.00,33154.74,217347.74,CC-BAT,nimali.p,Posted
FR-00134,SUP-034,Sunrise Bakery Products (Pvt) Ltd,SBP-0232,2026-01-08,2026-01-16,LKR,474598.00,85427.64,560025.64,CC-BAT,nimali.p,Posted
FR-00135,SUP-039,Vintage Cellars Lanka (Pvt) Ltd,VCL/25/364,2025-12-17,2025-12-19,LKR,415444.00,74779.92,490223.92,CC-RAJ,nimali.p,Posted
FR-00136,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2025329,2025-12-15,2025-12-16,LKR,170242.00,30643.56,200885.56,CC-MLV,nimali.p,Posted
FR-00137,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026214,2026-01-03,2026-01-12,LKR,408774.00,73579.32,482353.32,CC-C03,sunil.j,Posted
FR-00138,SUP-022,Hygiene First Chemicals (Pvt) Ltd,HFC/25/654,2025-12-13,2025-12-19,LKR,153149.00,27566.82,180715.82,CC-MLV,nimali.p,Posted
FR-00139,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0626,2026-02-11,2026-02-19,LKR,390762.00,70337.16,461099.16,CC-NUG,sunil.j,Posted
FR-00140,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026223,2026-02-07,2026-02-10,LKR,590159.00,106228.62,696387.62,CC-CKN,sunil.j,Posted
FR-00141,SUP-026,Guardian Facility Management (Pvt) Ltd,GFM/26/620,2026-02-09,2026-02-16,LKR,305612.00,55010.16,360622.16,CC-C03,nimali.p,Posted
FR-00142,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0627,2025-12-18,2025-12-27,LKR,95981.00,17276.58,113257.58,CC-MLV,nimali.p,Posted
FR-00143,SUP-037,Sea Breeze Prawn Farms (Pvt) Ltd,SBP2025266,2025-12-04,2025-12-08,LKR,618225.00,0.00,618225.00,CC-CKN,nimali.p,Posted
FR-00144,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0482,2026-02-11,2026-02-13,LKR,375916.00,67664.88,443580.88,CC-BAT,nimali.p,Posted
FR-00145,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/25/626,2025-12-15,2025-12-22,LKR,39628.00,7133.04,46761.04,CC-NUG,nimali.p,Posted
FR-00146,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026620,2026-02-20,2026-02-21,LKR,170824.00,0.00,170824.00,CC-RAJ,nimali.p,Posted
FR-00147,SUP-033,Vidul Print & Stationery (Pvt) Ltd,VP2026366,2026-01-06,2026-01-09,LKR,386192.00,69514.56,455706.56,CC-BAT,nimali.p,Posted
FR-00148,SUP-040,Everclean Laundry (Pvt) Ltd,EL/25/687,2025-12-17,2025-12-25,LKR,95017.00,17103.06,112120.06,CC-C03,nimali.p,Posted
FR-00149,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026621,2026-01-01,2026-01-08,LKR,219714.00,0.00,219714.00,CC-MLV,nimali.p,Posted
FR-00150,SUP-012,Ruhunu Rice & Grain Traders,RR-0494,2026-02-01,2026-02-08,LKR,283102.00,50958.36,334060.36,CC-MLV,sunil.j,Posted
FR-00151,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0334,2025-12-03,2025-12-12,LKR,378202.00,68076.36,446278.36,CC-MLV,nimali.p,Posted
FR-00152,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/25/176,2025-12-23,2025-12-31,LKR,485144.00,87325.92,572469.92,CC-BAT,nimali.p,Posted
FR-00153,SUP-027,Nexus Waste Management (Pvt) Ltd,000465,2026-02-28,2026-03-03,LKR,102586.00,18465.48,121051.48,CC-BAT,nimali.p,Posted
FR-00154,SUP-020,Ecoware Disposables (Pvt) Ltd,ED2025236,2025-12-22,2025-12-23,LKR,459760.00,82756.80,542516.80,CC-BAT,nimali.p,Posted
